# atomic number, electron configuration (aufbau)
1,1s1
2,1s2
3,1s2 2s1
4,1s2 2s2
5,1s2 2s2 2p1
6,1s2 2s2 2p2
7,1s2 2s2 2p3
8,1s2 2s2 2p4
9,1s2 2s2 2p5
10,1s2 2s2 2p6
11,1s2 2s2 2p6 3s1
12,1s2 2s2 2p6 3s2
13,1s2 2s2 2p6 3s2 3p1
14,1s2 2s2 2p6 3s2 3p2
15,1s2 2s2 2p6 3s2 3p3
16,1s2 2s2 2p6 3s2 3p4
17,1s2 2s2 2p6 3s2 3p5
18,1s2 2s2 2p6 3s2 3p6
19,1s2 2s2 2p6 3s2 3p6 4s1
20,1s2 2s2 2p6 3s2 3p6 4s2
21,1s2 2s2 2p6 3s2 3p6 4s2 3d1
22,1s2 2s2 2p6 3s2 3p6 4s2 3d2
23,1s2 2s2 2p6 3s2 3p6 4s2 3d3
24,1s2 2s2 2p6 3s2 3p6 4s2 3d4
25,1s2 2s2 2p6 3s2 3p6 4s2 3d5
26,1s2 2s2 2p6 3s2 3p6 4s2 3d6
27,1s2 2s2 2p6 3s2 3p6 4s2 3d7
28,1s2 2s2 2p6 3s2 3p6 4s2 3d8
29,1s2 2s2 2p6 3s2 3p6 4s2 3d9
30,1s2 2s2 2p6 3s2 3p6 4s2 3d10
31,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1
32,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2
33,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3
34,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4
35,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5
36,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6
37,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1
38,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2
39,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1
40,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d2
41,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d3
42,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d4
43,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d5
44,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d6
45,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d7
46,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d8
47,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d9
48,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10
49,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p1
50,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p2
51,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p3
52,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p4
53,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p5
54,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6
55,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1
56,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2
57,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f1
58,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f2
59,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f3
60,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f4
61,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f5
62,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f6
63,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7
64,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f8
65,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f9
66,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f10
67,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f11
68,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f12
69,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f13
70,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14
71,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d1
72,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d2
73,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d3
74,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d4
75,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d5
76,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d6
77,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d7
78,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d8
79,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d9
80,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10
81,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p1
82,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p2
83,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p3
84,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p4
85,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p5
86,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6
87,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s1
88,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2
89,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f1
90,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f2
91,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f3
92,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f4
93,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f5
94,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f6
95,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f7
96,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f8
97,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f9
98,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f10
99,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f11
100,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f12
101,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f13
102,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14
103,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d1
104,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d2
105,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d3
106,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d4
107,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d5
108,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d6
109,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d7
110,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d8
111,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d9
112,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10
113,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p1
114,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p2
115,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p3
116,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p4
117,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p5
118,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f14 6d10 7p6
